反安慰剂	fananweiji,fawj
反面儿	fanmianer,fme
反面教材	fanmianjiaocai,fmjc
反面教员	fanmianjiaoyuan,fmjy
反面人物	fanmianrenwu,fmrw
反面文章	fanmianwenzhang,fmwz
反面无情	fanmianwuqing,fmwq
反命	fanming,fm
反谋	fanmou,fm
反目	fanmu,fm
反目成仇	fanmuchengchou,fmcc
反逆	fanni,fn
反纽	fanniu,fn
反派	fanpai,fp
反叛	fanpan,fp
反叛分子	fanpanfenzi,fpfz
反畔	fanpan,fp
反旆	fanpei,fp
反批评	fanpiping,fpp
反聘	fanpin,fp
反扑	fanpu,fp
反璞	fanpu,fp
反璞归真	fanpuguizhen,fpgz
反朴	fanpiao,fp
反朴归真	fanpuguizhen,fpgz
反朴还淳	fanpuhuanchun,fphc
反其道而行之	fanqidaoerxingzhi,fqdexz
反气	fanqi,fq
反气旋	fanqixuan,fqx
反铅	fanqian,fq
反潜	fanqian,fq
反潜飞机	fanqianfeiji,fqfj
反潜机	fanqianji,fqj
反潜直升机	fanqianzhishengji,fqzsj
反且	fanqie,fq
反切	fanqie,fq
反青	fanqing,fq
反倾销	fanqingxiao,fqx
反清	fanqing,fq
反情	fanqing,fq
反求诸己	fanqiuzhuji,fqzj
反裘负刍	fanqiufuchu,fqfc
反裘负薪	fanqiufuxin,fqfx
反裘伤皮	fanqiushangpi,fqsp
反群	fanqun,fq
反扰	fanrao,fr
反人	fanren,fr
反人道罪	fanrendaozui,frdz
反人道罪行	fanrendaozuixing,frdzx
反人类	fanrenlei,frl
反人类罪	fanrenleizui,frlz
反日	fanri,fr
反三角函数	fansanjiaohanshu,fsjhs
反散射	fansanshe,fss
反杀	fansha,fs
反善	fanshan,fs
反伤	fanshang,fs
反上	fanshang,fs
反舌	fanshe,fs
反社会	fanshehui,fsh
反社会行为	fanshehuixingwei,fshxw
反射	fanshe,fs
反射地	fanshede,fsd
反射定律	fanshedinglu,fsdl
反射动作	fanshedongzuo,fsdz
反射光	fansheguang,fsg
反射弧	fanshehu,fsh
反射角	fanshejiao,fsj
反射镜	fanshejing,fsj
反射疗法	fansheliaofa,fslf
反射面	fanshemian,fsm
反射区治疗	fanshequzhiliao,fsqzl
反射星云	fanshexingyun,fsxy
反射作用	fanshezuoyong,fszy
反身	fanshen,fs
反身代词	fanshendaici,fsdc
反身自问	fanshenziwen,fszw
反渗透	fanshentou,fst
反渗透法	fanshentoufa,fstf
反生物战	fanshengwuzhan,fswz
反生香	fanshengxiang,fsx
反省	fanxing,fx
反圣婴	fanshengying,fsy
反诗	fanshi,fs
反时势	fanshi,fs
反时针	fanshizhen,fsz
反始	fanshi,fs
反市	fanshi,fs
反式	fanshi,fs
反式脂肪	fanshizhifang,fszf
反式脂肪酸	fanshizhifangsuan,fszfs
反事	fanshi,fs
反是	fanshi,fs
反噬	fanshi,fs
反手	fanshou,fs
反手可得	fanshoukede,fskd
反首	fanshou,fs
反书	fanshu,fs
反水	fanshui,fs
反水不收	fanshuibushou,fsbs
反税	fanshui,fs
反说	fanshuo,fs
反思	fansi,fs
反诉	fansu,fs
反诉状	fansuzhuang,fsz
反素	fansu,fs
反酸	fansuan,fs
反锁	fansuo,fs
反贪	fantan,ft
反贪腐	fantanfu,ftf
反贪污	fantanwu,ftw
反坦克	fantanke,ftk
反坦克炮	fantankepao,ftkp
反特	fante,ft
反腾	fanteng,ft
反天	fantian,ft
反听	fanting,ft
反听内视	fantingneishi,ftns
反听收视	fantingshoushi,ftss
反托拉斯	fantuolasi,ftls
反蛙泳	fanwayong,fwy
反外	fanwai,fw
反往	fanwang,fw
反围攻	fanweigong,fwg
反围剿	fanweijiao,fwj
反位	fanwei,fw
反胃	fanwei,fw
反文旁	fanwenpang,fwp
反问	fanwen,fw
反问句	fanwenju,fwj
反问语气	fanwenyuqi,fwyq
反乌托邦	fanwutuobang,fwtb
反污	fanwu,fw
反诬	fanwu,fw
反忤	fanwu,fw
反迕	fanwu,fw
反物质	fanwuzhi,fwz
反习	fanxi,fx
反系	fanxi,fx
反相	fanxiang,fx
反相地	fanxiangde,fxd
反响	fanxiang,fx
反响强烈地	fanxiangqiangliede,fxqld
反向	fanxiang,fx
反向地	fanxiangde,fxd
反斜杠	fanxiegang,fxg
反斜线	fanxiexian,fxx
反心	fanxin,fx
反形	fanxing,fx
反兴奋剂	fanxingfenji,fxfj
反训	fanxun,fx
反言	fanyan,fy
反颜	fanyan,fy
反衍	fanyan,fy
反掩	fanyan,fy
反眼不识	fanyanbushi,fybs
反眼不相识	fanyanbuxiangshi,fybxs
反演	fanyan,fy
反咬	fanyao,fy
反咬一口	fanyaoyikou,fyyk
反要	fanyao,fy
反掖	fanye,fy
反衣	fanyi,fy
反以失鱼	fanyishiyu,fysy
反义	fanyi,fy
反义词	fanyici,fyc
反义字	fanyizi,fyz
反异	fanyi,fy
反易	fanyi,fy
反意	fanyi,fy
反音	fanyin,fy
反吟伏吟	fanyinfu,fyf
反应	fanying,fy
反应堆	fanyingdui,fyd
反应堆燃料元件	fanyingduiranliaoyuanjian,fydrlyj
反应堆芯	fanyingduixin,fydx
反应锅	fanyingguo,fyg
反应过度	fanyingguodu,fygd
反应过渡	fanyingguodu,fygd
反应两极	fanyingliangji,fylj
反应炉	fanyinglu,fyl
反应器	fanyingqi,fyq
反应时	fanyingshi,fys
反应时间	fanyingshijian,fysj
反应式	fanyingshi,fys
反应性地	fanyingxingde,fyxd
反应性染料	fanyingxingranliao,fyxrl
反英	fanying,fy
反英雄	fanyingxiong,fyx
反膺	fanying,fy
反映	fanying,fy
反映论	fanyinglun,fyl
反庸	fanyong,fy
反用换流器	fanyonghuanliuqi,fyhlq
反犹太主义	fanyoutaizhuyi,fytzy
反油	fanyou,fy
反右	fanyou,fy
反右派斗争	fanyoupaidouzheng,fypdz
反右运动	fanyouyundong,fyyd
反隅	fanyu,fy
反虞	fanyu,fy
反宇	fanyu,fy
反羽	fanyu,fy
反语	fanyu,fy
反语法	fanyufa,fyf
反狱	fanyu,fy
反袁	fanyuan,fy
反袁斗争	fanyuandouzheng,fydz
反袁运动	fanyuanyundong,fyyd
反约	fanyue,fy
反葬	fanzang,fz
反则	fanze,fz
反仄	fanze,fz
反战	fanzhan,fz
反战分子	fanzhanfenzi,fzfz
反战抗议	fanzhankangyi,fzky
反掌	fanzhang,fz
反棹	fanzhao,fz
反照	fanzhao,fz
反照率	fanzhaolu,fzl
反折一把米	fansheyibami,fsybm
反真	fanzhen,fz
反正	fanzheng,fz
反正拨乱	fanzhengboluan,fzbl
反正还淳	fanzhenghuanchun,fzhc
反正一样	fanzhengyiyang,fzyy
反证	fanzheng,fz
反证法	fanzhengfa,fzf
反政	fanzheng,fz
反政府	fanzhengfu,fzf
反之	fanzhi,fz
反之亦然	fanzhiyiran,fzyr
反支	fanzhi,fz
反巵	fanzhi,fz
反知识	fanzhishi,fzs
反制	fanzhi,fz
反治其身	fanzhiqishen,fzqs
反智论	fanzhilun,fzl
反智主义	fanzhizhuyi,fzzy
反种	fanzhong,fz
反踵	fanzhong,fz
反转	fanzhuan,fz
反转来	fanzhuanlai,fzl
反转录	fanzhuanlu,fzl
反转录病毒	fanzhuanlubingdu,fzlbd
反转片	fanzhuanpian,fzp
反状	fanzhuang,fz
反撞	fanzhuang,fz
反宗	fanzong,fz
反宗教地	fanzongjiaode,fzjd
反走	fanzou,fz
反走私	fanzousi,fzs
反嘴	fanzui,fz
反嘴鹬	fanzuiyu,fzy
反左书	fanzuoshu,fzs
反作用	fanzuoyong,fzy
反坐	fanzuo,fz
