双百方针	shuangbaifangzhen,sbfz
双幅	shuangfu,sf
双斧伐孤树	shuangfufagushu,sffgs
双复磷	shuangfulin,sfl
双柑	shuanggan,sg
双柑斗酒	shuanggandoujiu,sgdj
双岗	shuanggang,sg
双杠	shuanggang,sg
双歌	shuangge,sg
双弓	shuanggong,sg
双勾	shuanggou,sg
双钩	shuanggou,sg
双挂号	shuangguahao,sgh
双拐	shuangguai,sg
双关	shuangguan,sg
双关语	shuangguanyu,sgy
双管	shuangguan,sg
双管齐下	shuangguanqixia,sgqx
双光气	shuangguangqi,sgq
双龟	shuanggui,sg
双规	shuanggui,sg
双轨	shuanggui,sg
双轨铁路	shuangguitielu,sgtl
双轨制	shuangguizhi,sgz
双桂联芳	shuangguilianfang,sglf
双跪	shuanggui,sg
双号	shuanghao,sh
双核	shuanghe,sh
双红	shuanghong,sh
双红拜帖	shuanghongbaitie,shbt
双红名帖	shuanghongmingtie,shmt
双后前兵开局	shuanghouqianbingkaiju,shqbkj
双湖	shuanghu,sh
双湖特别区	shuanghutebiequ,shtbq
双铧犁	shuanghuali,shl
双环	shuanghuan,sh
双鬟	shuanghuan,sh
双簧	shuanghuang,sh
双簧管	shuanghuangguan,shg
双回	shuanghui,sh
双回门	shuanghuimen,shm
双击	shuangji,sj
双极	shuangji,sj
双季稻	shuangjidao,sjd
双髻鲨	shuangjisha,sjs
双尖	shuangjian,sj
双肩包	shuangjianbao,sjb
双肩挑	shuangjiantiao,sjt
双减	shuangjian,sj
双键	shuangjian,sj
双江拉祜族佤族布朗族傣族自治县	shuangjianglahuzuwabulangdaizizhixian,sjlhzwbldzzx
双江县	shuangjiangxian,sjx
双交	shuangjiao,sj
双角	shuangjiao,sj
双角犀	shuangjiaoxi,sjx
双角犀鸟	shuangjiaoxiniao,sjxn
双绞线	shuangjiaoxian,sjx
双脚	shuangjiao,sj
双脚架	shuangjiaojia,sjj
双节	shuangjie,sj
双节地	shuangjiede,sjd
双节棍	shuangjiegun,sjg
双节棍道	shuangjiegundao,sjgd
双截棍	shuangjiegun,sjg
双金	shuangjin,sj
双进双出	shuangjinchu,sjc
双旌	shuangjing,sj
双井	shuangjing,sj
双井派	shuangjingpai,sjp
双九	shuangjiu,sj
双距	shuangju,sj
双开	shuangkai,sk
双壳类	shuangkelei,skl
双款	shuangkuan,sk
双鲤	shuangli,sl
双立人	shuangliren,slr
双连接站	shuanglianjiezhan,sljz
双莲	shuanglian,sl
双脸	shuanglian,sl
双链	shuanglian,sl
双链核酸	shuanglianhesuan,slhs
双梁鞋	shuangliangxie,slx
双辽	shuangliao,sl
双辽市	shuangliaoshi,sls
双料	shuangliao,sl
双林	shuanglin,sl
双流	shuangliu,sl
双流县	shuangliuxian,slx
双六	shuangliu,sl
双龙	shuanglong,sl
双龙大裂谷	shuanglongdaliegu,sldlg
双龙镇	shuanglongzhen,slz
双陆	shuanglu,sl
双陆棋	shuangluqi,slq
双鹿	shuanglu,sl
双睩	shuanglu,sl
双氯醇胺	shuangluchunan,slca
双氯芬酸钠	shuanglufensuanna,slfsn
双氯灭痛	shuanglumietong,slmt
双滦	shuangluan,sl
双滦区	shuangluanqu,slq
双轮	shuanglun,sl
双螺	shuangluo,sl
双马尾	shuangmawei,smw
双盲	shuangmang,sm
双毛	shuangmao,sm
双枚	shuangmei,sm
双门	shuangmen,sm
双面	shuangmian,sm
双庙	shuangmiao,sm
双名	shuangming,sm
双名法	shuangmingfa,smf
双眸	shuangmou,sm
双目	shuangmu,sm
双南	shuangnan,sn
双南金	shuangnanjin,snj
双牌	shuangpai,sp
双牌县	shuangpaixian,spx
双拼	shuangpin,sp
双七	shuangqi,sq
双栖	shuangqi,sq
双栖双宿	shuangqisu,sqs
双抢	shuangqiang,sq
双桥	shuangqiao,sq
双桥区	shuangqiaoqu,sqq
双亲	shuangqin,sq
双亲地	shuangqinde,sqd
双氢睾酮	shuangqinggaotong,sqgt
双清	shuangqing,sq
双清区	shuangqingqu,sqq
双球菌	shuangqiujun,sqj
双曲	shuangqu,sq
双曲拱桥	shuangqugongqiao,sqgq
双曲几何	shuangqujihe,sqjh
双曲面	shuangqumian,sqm
双曲抛物面	shuangqupaowumian,sqpwm
双曲线	shuangquxian,sqx
双曲线正弦	shuangquxianzheng,sqxz
双曲余割	shuangquyuge,sqyg
双曲余弦	shuangquyuxian,sqyx
双曲正弦	shuangquzhengxian,sqzx
双全	shuangquan,sq
双阙	shuangque,sq
双人	shuangren,sr
双人包夹	shuangrenbaojia,srbj
双人床	shuangrenchuang,src
双人房	shuangrenfang,srf
双人滑	shuangrenhua,srh
双人间	shuangrenjian,srj
双人舞	shuangrenwu,srw
双刃	shuangren,sr
双刃剑	shuangrenjian,srj
双日	shuangri,sr
双乳	shuangru,sr
双蕊	shuangrui,sr
双蕊兰	shuangruilan,srl
双扇	shuangshan,ss
双蛇	shuangshe,ss
双射	shuangshe,ss
双身子	shuangshenzi,ssz
双生	shuangsheng,ss
双生兄弟	shuangshengxiongdi,ssxd
双生子	shuangshengzi,ssz
双声	shuangsheng,ss
双胜	shuangsheng,ss
双十节	shuangshijie,ssj
双十一	shuangshiyi,ssy
双手	shuangshou,ss
双手紧紧地	shuangshoujinde,ssjd
双绶	shuangshou,ss
双输	shuangshu,ss
双树	shuangshu,ss
双数	shuangshu,ss
双双	shuang,s
双宿双飞	shuangsufei,ssf
双梭	shuangsuo,ss
双塔	shuangta,st
双塔区	shuangtaqu,stq
双胎	shuangtai,st
双台	shuangtai,st
双台子	shuangtaizi,stz
双台子区	shuangtaiziqu,stzq
双枱	shuangtai,st
双糖	shuangtang,st
双套	shuangtao,st
双套车	shuangtaoche,stc
双套飞车	shuangtaofeiche,stfc
双体船	shuangtichuan,stc
双祧	shuangtiao,st
双瞳	shuangtong,st
双瞳剪水	shuangtongjianshui,stjs
双筒望远镜	shuangtongwangyuanjing,stwyj
双头花	shuangtouhua,sth
双头郡	shuangtoujun,stj
双凸面	shuangtumian,stm
双兔碑	shuangtubei,stb
双腿	shuangtui,st
双弯	shuangwan,sw
双丸	shuangwan,sw
双隗	shuangwei,sw
双文	shuangwen,sw
双稳	shuangwen,sw
双误	shuangwu,sw
双夕	shuangxi,sx
双溪	shuangxi,sx
双溪乡	shuangxixiang,sxx
双膝	shuangxi,sx
双喜	shuangxi,sx
双喜临门	shuangxilinmen,sxlm
双线行	shuangxianxing,sxx
双响	shuangxiang,sx
双饷	shuangxiang,sx
双向	shuangxiang,sx
双向选择	shuangxiangxuanze,sxxz
双崤	shuangxiao,sx
双薪	shuangxin,sx
双星	shuangxing,sx
双姓	shuangxing,sx
双性恋	shuangxinglian,sxl
双休日	shuangxiuri,sxr
双绣	shuangxiu,sx
双学位	shuangxuewei,sxw
双鸦	shuangya,sy
双鸭山	shuangyashan,sys
双鸭山市	shuangyashanshi,syss
双掩	shuangyan,sy
双眼	shuangyan,sy
双眼皮	shuangyanpi,syp
双眼视觉	shuangyanshijue,sysj
双阳	shuangyang,sy
双阳区	shuangyangqu,syq
双氧水	shuangyangshui,sys
双曜	shuangyao,sy
双靥	shuangye,sy
双一流	shuangyiliu,syl
双译	shuangyi,sy
双翼飞机	shuangyifeiji,syfj
双音节	shuangyinjie,syj
双引	shuangyin,sy
双饮	shuangyin,sy
双赢	shuangying,sy
双拥	shuangyong,sy
双鱼	shuangyu,sy
双鱼洗	shuangyuxi,syx
双鱼钥	shuangyuyue,syy
双鱼座	shuangyuzuo,syz
双语	shuangyu,sy
双玉	shuangyu,sy
双鸳	shuangyuan,sy
双元音	shuangyuanyin,syy
双月	shuangyue,sy
双月刊	shuangyuekan,syk
双月选	shuangyuexuan,syx
双折地	shuangzhede,szd
双针	shuangzhen,sz
双甄	shuangzhen,sz
双职工	shuangzhigong,szg
双重	shuangchong,sc
双重标准	shuangchongbiaozhun,scbz
双重地	shuangchongde,scd
双重国籍	shuangchongguoji,scgj
双重人格	shuangchongrenge,scrg
双周刊	shuangzhoukan,szk
双周期性	shuangzhouqixing,szqx
双绉	shuangzhou,sz
双珠	shuangzhu,sz
双主修	shuangzhuxiu,szx
双柱	shuangzhu,sz
双拽头	shuangzhuaitou,szt
双转马	shuangzhuanma,szm
双子	shuangzi,sz
双子叶	shuangziye,szy
双子座	shuangzizuo,szz
双字	shuangzi,sz
双足	shuangzu,sz
双足重茧	shuangzuchongjian,szcj
双作	shuangzuo,sz
双唑泰栓	shuangzuotaishuan,szts
